1,1,1,1,Genesis,In the beginning of God's preparing the heavens and the earth--
1,1,1,2,Genesis,"the earth hath existed waste and void, and darkness <FI>is<Fi> on the face of the deep, and the Spirit of God fluttering on the face of the waters,"
1,1,1,3,Genesis,"and God saith, `Let light be;' and light is."
1,1,1,4,Genesis,"And God seeth the light that <FI>it is<Fi> good, and God separateth between the light and the darkness,"
1,1,1,5,Genesis,"and God calleth to the light `Day,' and to the darkness He hath called `Night;' and there is an evening, and there is a morning--day one."
1,1,1,6,Genesis,"And God saith, `Let an expanse be in the midst of the waters, and let it be separating between waters and waters.'"
1,1,1,7,Genesis,"And God maketh the expanse, and it separateth between the waters which <FI>are<Fi> under the expanse, and the waters which <FI>are<Fi> above the expanse: and it is so."
1,1,1,8,Genesis,"And God calleth to the expanse `Heavens;' and there is an evening, and there is a morning--day second."
1,1,1,9,Genesis,"And God saith, `Let the waters under the heavens be collected unto one place, and let the dry land be seen:' and it is so."
1,1,1,10,Genesis,"And God calleth to the dry land `Earth,' and to the collection of the waters He hath called `Seas;' and God seeth that <FI>it is<Fi> good."
1,1,1,11,Genesis,"And God saith, `Let the earth yield tender grass, herb sowing seed, fruit-tree (whose seed <FI>is<Fi> in itself) making fruit after its kind, on the earth:' and it is so."
1,1,1,12,Genesis,"And the earth bringeth forth tender grass, herb sowing seed after its kind, and tree making fruit (whose seed <FI>is<Fi> in itself) after its kind; and God seeth that <FI>it is<Fi> good;"
1,1,1,13,Genesis,"and there is an evening, and there is a morning--day third."
1,1,1,14,Genesis,"And God saith, `Let luminaries be in the expanse of the heavens, to make a separation between the day and the night, then they have been for signs, and for seasons, and for days and years,"
1,1,1,15,Genesis,and they have been for luminaries in the expanse of the heavens to give light upon the earth:' and it is so.
1,1,1,16,Genesis,"And God maketh the two great luminaries, the great luminary for the rule of the day, and the small luminary--and the stars--for the rule of the night;"
1,1,1,17,Genesis,"and God giveth them in the expanse of the heavens to give light upon the earth,"
1,1,1,18,Genesis,"and to rule over day and over night, and to make a separation between the light and the darkness; and God seeth that <FI>it is<Fi> good;"
1,1,1,19,Genesis,"and there is an evening, and there is a morning--day fourth."
1,1,1,20,Genesis,"And God saith, `Let the waters teem with the teeming living creature, and fowl let fly on the earth on the face of the expanse of the heavens.'"
1,1,1,21,Genesis,"And God prepareth the great monsters, and every living creature that is creeping, which the waters have teemed with, after their kind, and every fowl with wing, after its kind, and God seeth that <FI>it is<Fi> good."
1,1,1,22,Genesis,"And God blesseth them, saying, `Be fruitful, and multiply, and fill the waters in the seas, and the fowl let multiply in the earth:'"
1,1,1,23,Genesis,"and there is an evening, and there is a morning--day fifth."
1,1,1,24,Genesis,"And God saith, `Let the earth bring forth the living creature after its kind, cattle and creeping thing, and beast of the earth after its kind:' and it is so."
1,1,1,25,Genesis,"And God maketh the beast of the earth after its kind, and the cattle after their kind, and every creeping thing of the ground after its kind, and God seeth that <FI>it is<Fi> good."
1,1,1,26,Genesis,"And God saith, `Let Us make man in Our image, according to Our likeness, and let them rule over fish of the sea, and over fowl of the heavens, and over cattle, and over all the earth, and over every creeping thing that is creeping on the earth.'"
1,1,1,27,Genesis,"And God prepareth the man in His image; in the image of God He prepared him, a male and a female He prepared them."
1,1,1,28,Genesis,"And God blesseth them, and God saith to them, `Be fruitful, and multiply, and fill the earth, and subdue it, and rule over fish of the sea, and over fowl of the heavens, and over every living thing that is creeping upon the earth.'"
1,1,1,29,Genesis,"And God saith, `Lo, I have given to you every herb sowing seed, which <FI>is<Fi> upon the face of all the earth, and every tree in which <FI>is<Fi> the fruit of a tree sowing seed, to you it is for food;"
1,1,1,30,Genesis,"and to every beast of the earth, and to every fowl of the heavens, and to every creeping thing on the earth, in which <FI>is<Fi> breath of life, every green herb <FI>is<Fi> for food:' and it is so."
1,1,1,31,Genesis,"And God seeth all that He hath done, and lo, very good; and there is an evening, and there is a morning--day the sixth."
1,1,2,1,Genesis,"And the heavens and the earth are completed, and all their host;"
1,1,2,2,Genesis,"and God completeth by the seventh day His work which He hath made, and ceaseth by the seventh day from all His work which He hath made."
1,1,2,3,Genesis,"And God blesseth the seventh day, and sanctifieth it, for in it He hath ceased from all His work which God had prepared for making."
1,1,2,4,Genesis,"These <FI>are<Fi> births of the heavens and of the earth in their being prepared, in the day of Jehovah God's making earth and heavens;"
1,1,2,5,Genesis,"and no shrub of the field is yet in the earth, and no herb of the field yet sprouteth, for Jehovah God hath not rained upon the earth, and a man there is not to serve the ground,"
1,1,2,6,Genesis,"and a mist goeth up from the earth, and hath watered the whole face of the ground."
1,1,2,7,Genesis,"And Jehovah God formeth the man--dust from the ground, and breatheth into his nostrils breath of life, and the man becometh a living creature."
1,1,2,8,Genesis,"And Jehovah God planteth a garden in Eden, at the east, and He setteth there the man whom He hath formed;"
1,1,2,9,Genesis,"and Jehovah God causeth to sprout from the ground every tree desirable for appearance, and good for food, and the tree of life in the midst of the garden, and the tree of knowledge of good and evil."
1,1,2,10,Genesis,"And a river is going out from Eden to water the garden, and from thence it is parted, and hath become four chief <FI>rivers<Fi> ;"
1,1,2,11,Genesis,"the name of the one <FI>is<Fi> Pison, it <FI>is<Fi> that which is surrounding the whole land of the Havilah where the gold <FI>is<Fi> ,"
1,1,2,12,Genesis,"and the gold of that land <FI>is<Fi> good, there <FI>is<Fi> the bdolach and the shoham stone;"
1,1,2,13,Genesis,"and the name of the second river <FI>is<Fi> Gibon, it <FI>is<Fi> that which is surrounding the whole land of Cush;"
